CODIGO;ENTIDAD;NOMBRE FANTASIA;DIRECCION;COMUNA;HORARIO REFERENCIAL;UTM;GEOGRAFICAS
59;Serviestado;59-SERVIESTADO;Camino El Alba 11865;LAS CONDES;Lun a Vie 8:00 a 19:00 Sab 9:00 a 17:00;359068:6303229;-33.4010283139606:-70.5162333698769
60;Serviestado;60-SERVIESTADO;AV. LIB. BERNARDO OHIGGINS 622;SANTIAGO;Lun a Vie 8:00 a 19:00 Sab 9:00 a 17:00;347176:6298441;-33.44272566:-70.644872
61;Serviestado;61-SERVIESTADO;AV. AMERICO VESPUCIO NORTE CALETERA ORIENTE 51;MAIPU;Lun a Vie 8:00 a 19:00 Sab 9:00 a 17:00;337412:6293439;-33.486436:-70.750752
64;Serviestado;64-SERVIESTADO;GRAN AV. JOSE MIGUEL CARRERA 8496;LA CISTERNA;Lun a Vie 8:00 a 19:00 Sab 9:00 a 17:00;345633:6288388;-33.5332983565256:-70.6630693155897
66;Serviestado;66-SERVIESTADO;GENERAL ORDONEZ 130;MAIPU;Lun a Vie 8:00 a 19:00 Sab 9:00 a 17:00;336651:6291043;-33.50796909:-70.75917383
74;Serviestado;74-SERVIESTADO;AV. INDEPENDENCIA 3517;CONCHALI;Lun a Vie 8:00 a 19:00 Sab 9:00 a 17:00;344612:6303585;-33.39605624:-70.67138398
83;Serviestado;83-SERVIESTADO;AV. SERRANO 144;MELIPILLA;Lun a Vie 8:00 a 19:00 Sab 9:00 a 17:00;294850:6270914;-33.68207521:-71.21380708
94;Serviestado;94-SERVIESTADO;VICUNA MACKENNA 1918;PEÑAFLOR;Lun a Vie 8:00 a 19:00 Sab 9:00 a 17:00;325674:6279425;-33.6109281047966:-70.878772926207
112;Serviestado;112-SERVIESTADO;AV. CONCHA Y TORO 1149 LOCAL 60-A Y 60-B;PUENTE ALTO;Lun a Vie 8:00 a 19:00 Sab 9:00 a 17:00;353681:6281158;-33.5995494428859:-70.5774851721172
156;Serviestado;156-SERVIESTADO;ALCALDE PEDRO ALARCON 359;SAN JOAQUIN;Lun a Vie 8:00 a 19:00 Sab 9:00 a 17:00;348517:6293201;-33.490155691717:-70.6313068416836
202;Servipag;202-CRP PROVIDENCIA;HERNANDO DE AGUIRRE 136;PROVIDENCIA;Lun a Vie: 09:00 a 17:30;351214:6301111;-33.41922206:-70.60100524
206;Servipag;206-CRP SAN BERNARDO;OHIGGINS 528 – 2 piso Interior Supermercado Tottus;SAN BERNARDO;Lun a Vie: 09:00 a 19:00 - Sab: 11:00 a 14:00;341940:6281838;-33.5916795375606:-70.7039004651875
213;Servipag;213-APUMANQUE;MAR DE LOS SARGAZOS 5877;LAS CONDES;Lun a Vie: 09:00 a 19:00 / 15:00 a 19:00 - Sab: 10:00 a 14:00;354155:6302159;-33.4102508929983:-70.569010977473
221;Servipag;221-CRP PUENTE ALTO;EYZAGUIRRE 105;PUENTE ALTO;Lun a Vie: 10:00 a 19:00;353907:6279745;-33.6123414419999:-70.575351941
226;Servipag;226-MIRAFLORES;HUERFANOS 599;SANTIAGO;Lun a Vie: 10:00 a 19:00;347096:6298854;-33.4391015520811:-70.645476579007
229;Servipag;229-CRP REPUBLICA;AV. LIB. BERNARDO OHIGGINS 3470 - LOCAL Z-129 Z-131 Z-133;ESTACION CENTRAL;Lun a Dom: 10:00 a 20:00;343687:6297366;-33.4520954959025:-70.6820469259232
250;Servipag;250-CRP ESTADO;AV. LIB. BERNARDO OHIGGINS 855 - LOCAL 21 (GALERIA El REY);SANTIAGO;Lun a Vie: 09:00 a 17:30;346772:6298389;-33.442958:-70.648471
256;Servipag;256-SUP. LIDER GRAN AVENIDA;GRAN AVENIDA 6150;SAN MIGUEL;Lun a Vie: 09:00 a 21:00 - Sab: 09:00 a 21:00;346146:6290721;-33.51229164:-70.65708854
258;Servipag;258-CRP LA FLORIDA;AV. VICUNA MACKENNA ORIENTE 7110 LOCAL M 13;LA FLORIDA;Lun a Vie: 09:00 a 20:00 - Sab-Dom: 10:30 a 20:00;351399:6290113;-33.5186525387528:-70.6000258343121
268;Servipag;268-CRP BUIN;BALMACEDA 388;BUIN;Lun a Vie: 09:00 a 20:00 - Sab: 10:00 a 14:00;338722:6266100;-33.73314355:-70.74157575
302;Servipag;302-MALL PARQUE ARAUCO;AV. KENNEDY 5413;LAS CONDES;Lun a Sab: 10:00 a 21:00 - Dom: 11:00 a 21:00;353478:6303237;-33.40036695:-70.57631265
303;Servipag;303-LIDER EL ALBA;CAMINO EL ALBA  11865;LAS CONDES;Lun a Vie: 10:00 a 14:00 / 15:00 a 19:00 - Sab: 10:00 a 14:00;359068:6303229;-33.4010283139606:-70.5162333698769
304;Servipag;304-JUMBO BILBAO;AV. FRANCISCO BILBAO 4144;LAS CONDES;Lun a Sab: 08:00 a 22:00 - Dom: 09:00 a 22:00;353099:6299758;-33.43115065:-70.57874111
305;Servipag;305-JUMBO ALTO LAS CONDES;AV. KENNEDY 9001;LAS CONDES;Lun a Sab: 08:00 a 22:00 - Dom: 09:00 a 22:00;356319:6304535;-33.38904057:-70.54556044
308;Servipag;308-LIDER MACUL;AV. JOSE PEDRO ALESSANDRI 2127 LOC. 7;MACUL;Lun a Sab: 09:00 a 21:00;351490:6295020;-33.47415316:-70.59890147
310;Servipag;310-MONTSERRAT IRARRAZAVAL;AV. IRARRAZAVAL 1489;ÑUÑOA;Lun a Sab: 09:00 a 21:00;349930:6297322;-33.45320082:-70.61544197
314;Servipag;314-EL MOLINO SANTA ROSA;AV. SANTA ROSA 2055;SANTIAGO;Lun a Vie: 11:00 - 15:00 / 16:00 - 20:00 - Sab: 11:00 a 15:00;347473:6295155;-33.4723934:-70.64223536
316;Servipag;316-JUMBO MAIPU;AV. AMERICO VESPUCIO 1001;MAIPU;Lun a Dom: 08:30 a 21:30;337347:6293521;-33.48562899:-70.75146343
318;Servipag;318-MONTSERRAT MAIPU;AV. ALFREDO SILVA CARVALLO 1401;MAIPU;Lun a Sab: 09:00 a 15:00 /15:30 a 21:00;335243:6288401;-33.53146787:-70.77504674
319;Servipag;319-MALL PLAZA OESTE TOTTUS;AV. AMERICO VESPUCIO 1501-Plaza Oeste;CERRILLOS;Lun a Dom: 09:00 a 21:00;340564:6290311;-33.51506134:-70.71741989
321;Servipag;321-SANTA ISABEL MELIPILLA;AV. MANZO 559;MELIPILLA;Lun a Vier: 10:00 a 14:00 / 15:00 a 18:30 / Sáb: 10:00 a 14:00;294744:6269877;-33.691524174789556:-71.21501682754759
322;Servipag;322-SANTA ISABEL SAN PABLO;AV. SAN PABLO 4870;QUINTA NORMAL;Lun a Vie: 11:00 - 15:00 / 16:00 - 20:00 - Sab: 11:00 a 15:00;341876:6298638;-33.44017841:-70.70182802
325;Servipag;325-LIDER MAIPU;AV. PAJARITOS 4500;MAIPU;Lun a Vie: 11:00 a 15:00 / 16:00 a 19:00 - Sab: 10:00 a 15:00;337897:6293981;-33.48156735:-70.74546174
331;Servipag;331-MONTSERRAT INDEPENDENCIA;AV. INDEPENDENCIA 2127;INDEPENDENCIA;Lun a Sab: 09:00 a 21:00;345636:6302389;-33.4069322647918:-70.6605243636465
336;Servipag;336-MONTSERRAT EL PEÑON;AV. MEXICO 1915;PUENTE ALTO;Lun a Vie: 11:00 - 15:00 / 16:00 - 19:00 - Sab: 10:00 a 14:00;344049:6289737;-33.5946649:-70.55872528
340;Servipag;340-SANTA ISABEL EL BOSQUE;GRAN AV. JOSE MIGUEL CARRERA 9863, PARADERO 29 1/2;EL BOSQUE;Lun a Vie: 11:00 - 15:00 / 16:00 - 20:00 - Sab: 11:00 a 15:00;344849:6286498;-33.55034267:-70.67225258
373;Servipag;373-SANTA ISABEL LA REINA;AV. LARRAIN 6677;LA REINA;Lun a Vie: 11:00 - 15:00 / 16:00 - 20:00 - Sab: 11:00 a 15:00;355013:6297466;-33.4526017:-70.56074049
374;Servipag;374-SANTA ISABEL GRECIA;AV. GRECIA 5791 - ROTONDA GRECIA;PEÑALOLEN;Lun a Sab: 09:00 a 21:00;353758:6295570;-33.46953054:-70.57455351
377;Servipag;377-MALL PLAZA VIVACETA;AV. FERMIN VIVACETA 957;INDEPENDENCIA;Lun a Vie: 09:00 a 20:00 - Sab: 09:00 a 14:00;345440:6300900;-33.42030144:-70.66312044
380;Servipag;380-SANTA ISABEL LA GRANJA;AV. SANTA ROSA 7668;LA GRANJA;Lun a Vie: 10:00 a 19:00 - Sab: 10:00 a 14:00;348205:6288988;-33.52809713:-70.63540359
383;Servipag;383-LIDER VITACURA;BUENAVENTURA 1770;VITACURA;Lun a Sab: 08:30 a 22:00- Dom: 09:00 a 22:00;354218:6304787;-33.38648768:-70.56810589
396;Servipag;396-SAN FRANCISCO SAN BERNARDO;ARTURO PRAT 117;SAN BERNARDO;Lun a Vie: 09:00 a 21:00 - Sab: 09:00 a 14:00;342423:6281555;-33.5942756:-70.69895949
397;Servipag;397-MONTSERRAT QUINTA NORMAL;Av. Walker Martínez Nº 1650;QUINTA NORMAL;Lun a Vie: 10:00 a 14:30 / Sab: 15:30 a 18:30;342731:6299671;-33.431504:-70.692454
398;Servipag;398-SAN FRANCISCO BUIN;SAN MARTIN 174;BUIN;Lun a Vie: 09:00 a 20:00 - Sab: 10:00 a 14:00;339237:6266225;-33.73200032:-70.7360597
403;Servipag;403-CENTRO COMERCIAL TIKAL;NICASIO RETAMALES 44;ESTACION CENTRAL;Lun a Vie: 10:00 a 20:00 - Sab: 10:00 a 14:00;343136:6297128;-33.4540955747439:-70.6883585985254
404;Servipag;404-LIDER SANTA AMALIA;SANTA AMALIA 1763;LA FLORIDA;Lun a Dom: 09:00 a 20:00;354765:6287357;-33.5435414237331:-70.5649315757077
405;Servipag;405-LIDER LA REINA;AV. JORGE ALESSANDRI 1131;LA REINA;Lunes a Viernes 11:00 a 14:30 / 15:30 a 20:00;356292:6296384;-33.4625346:-70.54715961
406;Servipag;406-EL MERCURIO;AV. SANTA MARIA 5542;VITACURA;Lun a Vie: 09:00 a 17:30;351938:6305034;-33.38395175:-70.59256643
414;Servipag;414-Sup. Montserrat El Bosque;Gran Avenida Nº 13125, Paradero 38;EL BOSQUE;Lunes a Viernes 10:00 a 14:00 / 15:00 a 18:30/ Sábados 10:00 a 14:00;343093:6283705;-33.574270112707:-70.6908656314532
416;Servipag;416-UNIVERSIDAD DE CHILE BEAUCHEF;Beauchef 850;SANTIAGO;Lunes a Viernes 09:00 a 14:30 / 15:30 a 18:30;345423:6296809;-33.4573007010339:-70.6638122919181
417;Servipag;417-MALL PLAZA LYON;AV. RICARDO LYON 100  LOC. 62;PROVIDENCIA;Lun a Vie: 09:00 a 20:00 - Sab: 10:00 a 14:00;350445:6300702;-33.42280189:-70.60934021
418;Servipag;418-LIDER QUILIN;AV. AMERICO VESPUCIO 3100;PEÑALOLEN;Lun a Sab: 09:00 a 21:00;353337:6293822;-33.48523393:-70.57936076
424;Fullcarga;EL RINCON DEL GUSTO MAIPU;CERRO BLANCO  0625;MAIPU;;334307:6288070;-33.5344277734798:-70.7849931653655
426;Servipag;426-SODIMAC RENCA;AV. PRESIDENTE EDUARDO FREI MONTALVA 3092;RENCA;Lun a Vie: 09:00 a 17:30;342964:6304063;-33.39759061:-70.68553679
439;Servipag;439-LIDER RECOLETA;AV. RECOLETA 3501;RECOLETA;Lun a Vie: 10:00 a 21:00 - Sab: 10:00 a 21:00;347313:6303866;-33.39382816:-70.64247582
442;Servipag;442-LIDER LAS CONDES;AV. LAS CONDES 12916;LO BARNECHEA;Lun a Vie: 10:00 a 14:00 / 15:00 a 19:00 - Sab: 10:00 a 14:00;359375:6306613;-33.37071232:-70.51239755
446;Servipag;446-DERCO QUILICURA;AMERICO VESPUCIO 1842;QUILICURA;Lun a Vier: 09:00 a 14:30 / 15:30 a 18:30;341277:6306435;-33.36991472:-70.70672087
454;Servipag;454-JUMBO PAJARITOS (EX MONTECARLO);AV. PAJARITOS 3302;MAIPU;Lun a Vie: 09:00 a 21:00 - Sab: 10:00 a 20:00- Dom: 10:00 a 14:00;336835:6292144;-33.49796996:-70.7572239
457;Servipag;457-JUMBO LA FLORIDA;AV. VICUNA MACKENNA 6100;LA FLORIDA;Lun a Dom: 10:00 a 22:00;350670:6290949;-33.51071617:-70.60851559
460;Servipag;460-MUNICIPALIDAD DE CONCHALI;Av. Dorsal Nº 1904;CONCHALI;Lun a Vie: 09:00 a 14:30 / 15:30 a 18:30;344792:6303337;-33.39823886:-70.66966449
464;Servipag;464-TOPs PUENTE ALTO;AV. CONCHA Y TORO 1036;PUENTE ALTO;Lun a Vie: 10:00 a 20:00 - Sab: 10:00 a 14:00;353686:6280955;-33.60129009:-70.57771977
471;Servipag;471-SHOPPING LA DEHESA;EL RODEO 12850;LO BARNECHEA;Lun a Vie: 10:00 a 14:00 / 15:00 a 19:00 - Sab: 10:00 a 14:00;358565:6308571;-33.35295179:-70.52079272
474;Servipag;474-JUMBO LA REINA;AV. FRANCISCO BILBAO 8750;LAS CONDES;Lun a Dom: 09:00 a 22:00;356841:6300149;-33.42865955:-70.54065413
475;Servipag;475-MONTSERRAT CONCHALI;AV. INDEPENDENCIA 3601;CONCHALI;Lun a Sab: 09:00 a 21:00;344572:6303651;-33.3953728:-70.67197428
481;Servipag;481-DGA CIVIL;MIGUEL CLARO 1314;PROVIDENCIA;Lun-Jue 08:30 a 13:45 / 14:45 a 17:15 - Vie 08:30 a 13:45 /  14:45 a 16:15;349680:6298678;-33.44093974:-70.61789931
495;Servipag;495-SANTA ISABEL RENCA;AV. DOMINGO SANTA MARIA 3962;RENCA;Lun a Vie: 11:00 a 15:00 / 16:00 a 20:00;341936:6302338;-33.40683057:-70.70053385
496;Servipag;496-SANTA ISABEL LOS PENSAMIENTOS;LOS PENSAMIENTOS 10260;LA GRANJA;Lun a Vie: 11:00 a 15:00 / 16:00 a 20:00;349751:6286481;-33.550921:-70.61918317
498;Servipag;498-MALL DEL CENTRO;PUENTE 689, Subterraneo;SANTIAGO;Lun a Vie: 10:00 - 21:00  - Sab: 10:00 a 14:00 - Dom: 11:00 a 21:00;346553:6299269;-33.43516897:-70.65142355
506;Servipag;506-JUMBO LA DEHESA;AV. LA DEHESA 1445  - LOC. 1044;LO BARNECHEA;Lun a Dom: 10:00 a 21:00;358923:6307977;-33.35835041:-70.51703954
507;Servipag;507-MALL PLAZA NORTE;AV. AMERICO VESPUCIO 1737 - LOC. B 14;HUECHURABA;Lun a Dom: 10:00 a 20:00;343989:6306666;-33.36810778:-70.67771798
517;Servipag;517-JUMBO PENALOLEN;AV. SANCHEZ FONTECILLA 12000;PEÑALOLEN;Lun a Dom: 09:00 a 21:00;355357:6293675;-33.48683307:-70.55765874
518;Servipag;518-SANTA ISABEL CAMPANARIO;AV. WALKER MARTINEZ 1786;LA FLORIDA;Lun a Sab: 09:00 a 21:00;353420:6289717;-33.52225851:-70.57914236
523;Servipag;523-MALL MELIPILLA;Av. Ignacio Serrano N° 395, 2° piso;MELIPILLA;Lun a Vie: 10:00 a 20:00;294852:6270604;-33.68496703:-71.21372508
524;Servipag;524-UNIMARC GRAN AVENIDA;GRAN AV. JOSE MIGUEL CARRERA 5485;SAN MIGUEL;Lun a Sab: 09:00 a 21:00;346313:6291609;-33.503801:-70.655094
532;Servipag;532-SANTA ISABEL MAPOCHO;AV. ISMAEL  VALDES VERGARA 838;SANTIAGO;Lun a Vie: 11:00 a 15:00 / 16:00 a 20:00;346737:6299415;-33.43388359:-70.64942856
533;Servipag;533-MONTSERRAT PAJARITOS;AV. GLADYS MARIN 6950;ESTACION CENTRAL;Lun a Vie: 11:00 - 15:00 / 16:00 - 19:00 - Sab: 10:00 a 15:00;339300:6295547;-33.4677892179857:-70.7300319562957
534;Servipag;534-MONSERRAT PAINE;GENERAL BAQUEDANO 890;PAINE;Lunes a Viernes 10:00 a 14:30 / 15:30 a 19:30;338748:6257094;-33.81424288:-70.74300228
551;Servipag;551-SAN FRANCISCO TALAGANTE LOS AROMOS;Los Aromos Nº 441;TALAGANTE;Lun a Vie: 09:00 a 20:00 / Sab: 10:00 a 14:00;326121:6280326;-33.656297:-70.90982
558;Servipag;558-SANTA ISABEL EL ALBA (EX MONTECARLO);AV. LA FLORIDA  9385;LA FLORIDA;Lun a Vie: 10:00 a 18:00 - Sab: 10:00 a 15:00;354104:6287780;-33.5397089329608:-70.5719898457932
560;Servipag;560-SANTA ISABEL CIUDAD SATELITE;AV. PARQUE CENTRAL PONIENTE 1040;MAIPU;Lun a Vie: 10:00 a 14:30 / 15:30 a 18:30 - Sab: 10:00 a 14:30;334194:6285175;-33.56051014:-70.78675715
563;Servipag;563-SANTA ISABEL HUERFANOS;HUERFANOS 1437;SANTIAGO;Lun a Vie: 90:00 a 14:30 / 15:30 a 18:30;346035:6298713;-33.44011211:-70.65709652
567;Servipag;567-CENTRO COMERCIAL  FRANKLIN;FRANKLIN 1010 - LOC. 25;SANTIAGO;Lun a Vie: 10:00 a 19:00 - Sab: 10:00 a 14:00;347057:6295045;-33.47332636:-70.64673178
576;Servipag;576-SANTA ISABEL LONQUEN;CRUCE LONQUEN / CAMINO CALERA DE TANGO;CALERA DE TANGO;Lun a Vie: 10:00 a 14:00 / 15:00 a 19:00 - Sab: 10:00 a 15:00;333198:6278170;-33.62344114:-70.79886254
581;Servipag;581-TOTTUS PUENTE ALTO;AV. CONCHA Y TORO 1477;PUENTE ALTO;Lun a Vie: 10:00 a 20:00 - Sab: 10:00 a 14:00;353521:6281782;-33.59380738:-70.57936142
584;Servipag;584-METRO U. CHILE-SERRANO;METRO U. DE CHILE SALIDA SERRANO;SANTIAGO;Lun a Vie: 10:00 a 19:00 - Sab: 10:00 a 14:00;346604:6298297;-33.4437650271:-70.6502916805
586;Servipag;586-BODEGAS SAN FRANCISCO;PUERTO MADERO 9710;PUDAHUEL;Lun a Vie: 10:00 a 19:00;334226:6297340;-33.45080099:-70.78413563
589;Servipag;589-ENAER;GRAN AV. JOSE MIGUEL CARRERA 11087, Parad. 36 ½ (Interior de ENAER);EL BOSQUE;Lun a Vie: 09:00 a 18:00;344217:6285509;-33.56936227:-70.68694071
590;Servipag;590-LIDER QUILICURA;OHIGGINS 314;QUILICURA;Lun a Sab: 09:00 a 21:00;339177:6307950;-33.360227:-70.72986
639;Servipag;639-PORTAL EXPOSICION;CAMPBELL 3090 - LOC. 213;SANTIAGO;Lun a Vie: 10:00 a 20:00 - Sab: 10:00 a 14:00;344125:6297435;-33.45123192:-70.6777745
648;Servipag;648-MALL QUILICURA;OHIGGINS 581;QUILICURA;Lunes a Viernes 10:00 a 20:00 / Sábado 10:00 a 14:00;339027:6306669;-33.36746940576378:-70.73085441077433
653;Servipag;653-MONTSERRAT ISLA DE MAIPO;AV. SANTELICES 641;ISLA DE MAIPO;Lun a Vie: 10:00 a 14:30 / 15:30 a 19:30;323843:6263465;-33.7541454288765:-70.9019236198609
654;Servipag;654-CTI;ALBERTO LLONA 777;MAIPU;Lun a Vie: 09:00 a 17:30;337030:6289676;-33.52036542:-70.75544136
661;Servipag;661-ACADEMIA DE GUERRA;VALENZUELA LLANOS 623;LA REINA;Lun a Vie: 09:00 a 18:00;357270:6298358;-33.4448629:-70.53632398
666;Servipag;666-INTERMODAL;AV. AMERICO VESPUCIO 33 - LOC. 42;LA CISTERNA;Lun a Vie: 09:00 a 20:00 - Sab: 10:00 a 14:00;345434:6287999;-33.53662611:-70.66540141
667;Servipag;667-JUMBO PLAZA PUENTE ALTO;SANTO DOMINGO 67;PUENTE ALTO;Lun a Vie: 09:00 a 20:00 - Sab: 11:00 a 19:00;353764:6279783;-33.6116981099317:-70.5769777775113
668;Servipag;668-METRO ESTACION TOBALABA;METRO ESTACION TOBALABA;PROVIDENCIA;Lun a Vie: 08:00 a 20:00 - Sab: 10:00 a 14:00;351090:6301216;-33.418081:-70.601564
669;Servipag;669-MALL PLAZA TOBALABA;Av. Camilo Henríquez Nº 3296 - Local 116 B y 118;PUENTE ALTO;Lun a Vie: 10:00 a 21:00 / Sab y Dom: 10:00 a 21:00;355736:6284534;-33.5694161245757:-70.5548673321197
683;Servipag;683-LIDER LAS REJAS;AV. LIB. BERNARDO OHIGGINS 5199;ESTACION CENTRAL;Lun a Vie: 09:00 a 20:00 - Sab: 10:00 a 14:00;341478:6296753;-33.45717127:-70.70633884
684;Servipag;684-LIDER OESTE;AV. AMERICO VESPUCIO 2500;CERRILLOS;Lun a Vie: 11:00 a 15:00 / 16:00 a 20:00;341096:6290133;-33.5173362202943:-70.7098458919462
686;Servipag;686-SANTIAGO CENTRO;AV. LIB. BERNARDO OHIGGINS 969 LOC. 74;SANTIAGO;Lun a Vie: 09:00 a 20:00 - Sab: 10:00 a 15:30;346722:6298360;-33.44338828:-70.64976092
691;Servipag;691-PENAFLOR;21 DE MAYO 4400;PEÑAFLOR;Lun a Vie: 09:00 a 20:00 - Sab: 10:00 a 14:00;323821:6279676;-33.6084038324614:-70.8996138878165
698;Servipag;698-SANTA ISABEL LA TRAVESIA;ISLA PORTEZUELO 615;PUDAHUEL;Lun a Vie: 10:00 - 15:00 / 16:00 - 19:00 - Sab: 10:00 a 14:00;336185:6297154;-33.451482:-70.763151
702;Servipag;702-CENTRO COMERCIAL PUMAY;PSJE. PINOCHET LEBRUN 84;MAIPU;Lun a Vie : 11:00 a 15:00 /16:00 a 19:00 - Sab: 10:00 a 15:00;336828:6290828;-33.510484:-70.757889
707;Servipag;707-SANTA ISABEL LO MARCOLETA;AV. LO MARCOLETA 361;QUILICURA;Lun a Vie: 11:00 a 13:00 / 14:00 a 20:00;337653:6307437;-33.36048697:-70.7453896
709;Servipag;709-SANTA ISABEL VALLE GRANDE;GENERAL SAN MARTIN 47, ESQ. AV. LA MONTAnA;LAMPA;Lun a Vie: 11:00 a 15:00 / 16:00 a 20:00;337412:6311456;-33.323775:-70.746776
713;Servipag;713-SANTA ISABEL ACUENTA GABRIELA;AV GABRIELA PONIENTE 03960;PUENTE ALTO;Lun a Vie: 10:00 a 19:00;351028:6283022;-33.5823974728446:-70.605822912767
725;Servipag;725-MALL PLAZA SUR;AV. PRESIDENTE JORGE ALESSANDRI 20040 LOCAL 121;SAN BERNARDO;Lunes a Viernes 09:00 a 21:00 / Sábado 10:00 a 21:00;341142:6277668;-33.62948511:-70.71326824
730;Servipag;730-SAN ANTONIO II;AV. SAN ANTONIO 277;SANTIAGO;Lun a Vie: 09:00 a 18:30;346864:6298797;-33.4395874555726:-70.6479804604408
731;Servipag;731-MUNICIPALIDAD VITACURA;AV. BICENTENARIO 3800;VITACURA;Lun a Vie: 08:30 a 15:00 / 15:30 a 18:00;351262:6303754;-33.39540034:-70.60004201
745;Servipag;745-SANTA ISABEL BUSTAMANTE;AV. VICUÑA MACKENNA 1048;ÑUÑOA;Lun a Vie: 09:00 a 19:00;348580:6297134;-33.4548350097525:-70.6297863634114
749;Servipag;749-LIDER CENTRAL;AV. PAJARITOS 2689 ESQUINA AV. CENTRAL;MAIPU;Lunes a Viernes 10:00 a 14:30- 15:30 a 18:30 / Sábado 10:00 a 14:30;336813:6291899;-33.503596:-70.757311
752;Servipag;752-LIDER SHOPPING PUENTE ALTO;AV. CONCHA Y TORO 1149;PUENTE ALTO;Luna a Vie: 10:00 a 20:00 -  Sab: 10:00 a 14:00;353681:6281158;-33.5995494428859:-70.5774851721172
756;Servipag;756-TOTTUS EL BOSQUE;GRAN AV. JOSE MIGUEL CARRERA 10375, PARADERO 31;EL BOSQUE;Lun a Vie: 09:00 a 21:00 - Sab: 09:00 a 14:00;344567:6286072;-33.55395396:-70.67508439
757;Servipag;757-MONTSERRAT COLINA;CARRETERA GENERAL SAN MARTIN 068;COLINA;Lun a Vie: 09:00 a 20:00 - Sab: 09:00 a 14:00;343892:6324771;-33.20486651:-70.6756368
759;Servipag;759-TOTTUS NATANIEL;NATANIEL COX 620;SANTIAGO;Lun a Vie: 11:00 a 15:00 / 16:00 a 20:00;346461:6297228;-33.45356944:-70.65277054
763;Servipag;763-LIDER ESPACIO URBANO;AV. PRINCIPE DE GALES 9140 LOC. 409;LA REINA;Lun a Vie: 11:00 a 15:00 / 15:30 a 19:00 - Sab: 11:00 a 14:00;357352:6298754;-33.44131353:-70.53537466
768;Servipag;768-SANTA ISABEL CERRO NAVIA;JOSE JOAQUIN PEREZ 7259;CERRO NAVIA;Lun a Vie: 11:00 a 15:00 / 16:00 a 20:00;338676:6299794;-33.42928442:-70.73603719
790;Servipag;790- MONSERRAT PEÑALOLEN;Av. Grecia N°8585;PEÑALOLEN;Lun a Sab: 09:00 a 21:00;356644:6294897;-33.4761125273929:-70.5434024741001
791;Servipag;791-JUMBO CONCHA Y TORO;AV. CONCHA Y TORO 3854 LOC. 1075;PUENTE ALTO;Lun a Dom : 09:00 a 21:00;353117:6284243;-33.57166778:-70.58294397
794;Servipag;794-EASY OCHAGAVIA;AV. JOSE JOAQUIN PRIETO 5531, LOC. 1003;PEDRO AGUIRRE CERDA;Lun a Vie: 09:00 a 20:00 - Sab: 09:00 a 14:00;343792:6288462;-33.5323749727552:-70.6828555221853
802;Servipag;802-MALL PASEO SANTA FILOMENA;EUSEBIO LILLO 440;INDEPENDENCIA;Lun a Vie: 10:00 a 20:00 - Sab: 10:00 a 14:00;347168:6299990;-33.4288462205399:-70.6444841917732
808;Servipag;808-TOTTUS LA FLORIDA;AV. AMERICO VESPUCIO 7310;LA FLORIDA;Lun a Vie: 10:00 a 19:00;351906:6290026;-33.519805:-70.595659
810;Servipag;810-SANTA ISABEL LA CISTERNA;GRAN AV. JOSE MIGUEL CARRERA 6610;LA CISTERNA;Lun a Vie: 10:00 a 20:00 - Sab: 10:00 a 14:00;345992:6290068;-33.5180168198838:-70.6588035900165
813;Servipag;813-COSTANERA CENTER;AV. ANDRES BELLO 2447 Local 216;PROVIDENCIA;Lun a Dom: 10:00 a 22:00;350541:6301280;-33.4177753669844:-70.6081718086979
815;Servipag;815-SANTA ISABEL HUECHURABA;AV. PEDRO FONTOVA 7789;HUECHURABA;Lun a Vie: 10:45 a 15:00 / 16:00 a 20:00;344620:6308944;-33.3476444970472:-70.6703379117934
817;Servipag;817-STRIP CENTER MELIPILLA;AV. VICUÑA MACKENNA 0742 LOCAL 17;MELIPILLA;Lunes a Viernes 10:00 a 14:00- 15:00 a 18:30 / Sábado 10:00 a 14:00;296731:6271089;-33.6809794856297:-71.1934570915176
825;Servipag;825-ESPACIO URBANO MAIPU;RAMON FREIRE 1790;MAIPU;Lun a Sab: 10:00 a 20:00;336828:6290753;-33.51062125015:-70.7573658429448
849;Serviestado;849-SERVIESTADO;AV. VITACURA 2814;LAS CONDES;Lun a Vie 8:00 a 19:00 Sab 9:00 a 17:00;350936:6301662;-33.4143063718314:-70.6038346761948
880;Serviestado;880-SERVIESTADO;AV. VICUNA MACKENNA ORIENTE 7110 LOCAL 117-121;LA FLORIDA;Lun a Vie 8:00 a 19:00 Sab 9:00 a 17:00;351399:6290113;-33.5186525387528:-70.6000258343121
883;Serviestado;883-SERVIESTADO;AV. CONCHA Y TORO 1064 LOCAL 18-19;PUENTE ALTO;Lun a Vie 8:00 a 19:00 Sab 9:00 a 17:00;353679:6281006;-33.6008218044813:-70.5778159246653
885;Serviestado;885-SERVIESTADO;AV. VICUNA MACKENNA 7802 Local 7;LA FLORIDA;Lun a Vie 8:00 a 19:00 Sab 9:00 a 17:00;351804:6289223;-33.5266573896102:-70.5963682177367
889;Serviestado;889-SERVIESTADO;AV. AMERICO VESPUCIO 2500 LOCAL 10;CERRILLOS;Lun a Vie 8:00 a 19:00 Sab 9:00 a 17:00;341096:6290133;-33.5173362202943:-70.7098458919462
